Id,Ref (haul identifier),Cruise,Station,Event,Netno,Nettype,Net mouthm2,Net mesh(mm),Trajectorycode,Date,Year,Month,Day,GMT time,Local time,Day/night,Latitude (dec degrees),Longitude (dec degrees),Minimumnet depth(m),Maximum net depth (m),Water depth mean within 10km range (m),Water depth range within 10km range (m),Mean climatological temperature within 10 km range,Bin size,Mean length (mm),Total krill in sample,Source,Comments
1501,AMLR2005A7-07,AMLR2005A,,,,IKMT,3.08,0.505,OB,23-Jan-05,2005,1,23,06:18:00,,,-61.5001,-56.5001,0,170,-490,330,1.36,1,48.48,66,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1502,AMLR2005A7-08,AMLR2005A,,,,IKMT,3.08,0.505,OB,23-Jan-05,2005,1,23,09:16:00,,,-61.7501,-56.5001,0,170,-556,368,1.14,1,47,8,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1503,AMLR2005A8-06,AMLR2005A,,,,IKMT,3.08,0.505,OB,22-Jan-05,2005,1,22,00:14:00,,,-61.2501,-57.0001,0,169,-1612,1128,1.62,1,49.05,42,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1504,AMLR2005A8-08,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,20:03:00,,,-61.7501,-57.0001,0,171,-409,154,1.36,1,47.44,43,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1505,AMLR2005A9-01,AMLR2005A,,,,IKMT,3.08,0.505,OB,20-Jan-05,2005,1,20,20:45:00,,,-60.0001,-57.5001,0,173,-3860,611,2.66,1,49.7,10,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1506,AMLR2005A9-02,AMLR2005A,,,,IKMT,3.08,0.505,OB,20-Jan-05,2005,1,20,23:37:00,,,-60.2501,-57.5001,0,171,-2769,2914,2.51,1,47,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1507,AMLR2005A9-03,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,02:27:00,,,-60.5001,-57.5001,0,170,-3712,643,2.23,1,48.5,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1508,AMLR2005A9-04,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,05:27:00,,,-60.7501,-57.5001,0,170,-4678,1013,2.13,1,49.6,60,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1509,AMLR2005A9-05,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,08:35:00,,,-61.0001,-57.5001,0,170,-3732,1721,2.01,1,50.4,5,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1510,AMLR2005A9-06,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,11:36:00,,,-61.2501,-57.5001,0,170,-2619,842,1.76,1,50.47,15,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1511,AMLR2005A9-07,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,14:35:00,,,-61.5001,-57.5001,0,171,-634,1169,1.6,1,50.14,58,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1512,AMLR2005A9-08,AMLR2005A,,,,IKMT,3.08,0.505,OB,21-Jan-05,2005,1,21,17:19:00,,,-61.7501,-57.5001,0,172,-336,181,1.32,1,47.74,81,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1513,AMLR2005D2-01,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,12:27:00,,,-60.0001,-54.0001,0,169,-2986,421,1.98,1,47.11,9,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1514,AMLR2005D2-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,15:29:00,,,-60.2501,-54.0001,0,170,-2751,742,1.79,1,45.64,11,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1515,AMLR2005D2-03,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,18:31:00,,,-60.5001,-54.0001,0,170,-2920,326,1.55,1,47,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1516,AMLR2005D2-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,21:32:00,,,-60.7501,-54.0001,0,169,-1922,2049,1.38,1,47.5,4,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1517,AMLR2005D2-05,AMLR2005D,,,,IKMT,3.08,0.505,OB,05-Mar-05,2005,3,5,00:18:00,,,-61.0001,-54.0001,0,169,-984,1655,1.25,1,43.54,24,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1518,AMLR2005D2-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,05-Mar-05,2005,3,5,03:31:00,,,-61.2501,-53.9001,0,169,-1034,1531,0.88,1,45,5,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1519,AMLR2005D2-07,AMLR2005D,,,,IKMT,3.08,0.505,OB,05-Mar-05,2005,3,5,06:29:00,,,-61.5001,-54.0001,0,172,-745,728,0.76,1,45,5,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1520,AMLR2005D3-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,08:59:00,,,-60.2501,-54.5001,0,167,-3038,354,1.99,1,45,4,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1521,AMLR2005D3-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,04-Mar-05,2005,3,4,04:27:00,,,-60.7501,-54.5001,0,170,-2541,1990,1.44,1,45.75,113,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1522,AMLR2005D3-08,AMLR2005D,,,,IKMT,3.08,0.505,OB,03-Mar-05,2005,3,3,19:38:00,,,-61.7501,-54.5001,0,168,-703,686,0.68,1,44,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1523,AMLR2005D4-01,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,18:08:00,,,-60.0001,-55.0001,0,169,-3516,285,2.16,1,50,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1524,AMLR2005D4-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,20:58:00,,,-60.2501,-55.0001,0,169,-3356,262,2.01,1,46.34,32,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1525,AMLR2005D4-03,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,23:52:00,,,-60.5001,-55.0001,0,169,-3393,298,1.79,1,47,13,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1526,AMLR2005D4-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,03-Mar-05,2005,3,3,02:44:00,,,-60.7501,-55.0001,0,170,-2925,2117,1.59,1,45.62,115,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1527,AMLR2005D4-05,AMLR2005D,,,,IKMT,3.08,0.505,OB,03-Mar-05,2005,3,3,05:35:00,,,-61.0001,-55.0001,0,174,-382,1304,1.41,1,41.73,15,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1528,AMLR2005D4-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,03-Mar-05,2005,3,3,11:19:00,,,-61.2501,-55.0001,0,120,-238,833,1.09,1,44,6,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1529,AMLR2005D5.5-01,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,14:12:00,,,-60.0001,-55.7501,0,169,-3614,482,2.34,1,48.52,46,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1530,AMLR2005D5.5-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,10:51:00,,,-60.2501,-55.7501,0,169,-3607,264,2.16,1,52,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1531,AMLR2005D5.5-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,05:13:00,,,-60.7501,-55.7501,0,170,-2394,3407,1.78,1,45.65,110,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1532,AMLR2005D5.5-05,AMLR2005D,,,,IKMT,3.08,0.505,OB,02-Mar-05,2005,3,2,01:05:00,,,-61.0001,-55.7501,0,130,-128,378,1.69,1,44.89,109,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1533,AMLR2005D5.5-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,22:47:00,,,-61.2501,-55.7501,0,99,-143,208,1.35,1,46.5,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1534,AMLR2005D5.5-07,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,20:19:00,,,-61.5001,-55.7501,0,170,-306,659,1.18,1,44.93,15,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1535,AMLR2005D5.5-08,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,17:50:00,,,-61.7501,-55.7501,0,170,-1481,1865,1.02,1,45,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1536,AMLR2005D7-01,AMLR2005D,,,,IKMT,3.08,0.505,OB,28-Feb-05,2005,2,28,18:08:00,,,-60.0001,-56.5001,0,170,-3595,411,2.5,1,49.09,33,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1537,AMLR2005D7-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,28-Feb-05,2005,2,28,21:14:00,,,-60.2501,-56.5001,0,168,-3804,797,2.33,1,51,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1538,AMLR2005D7-03,AMLR2005D,,,,IKMT,3.08,0.505,OB,28-Feb-05,2005,2,28,23:54:00,,,-60.5001,-56.5001,0,170,-3938,324,2.03,1,51,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1539,AMLR2005D7-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,02:38:00,,,-60.7501,-56.5001,0,169,-3023,2422,1.94,1,48.2,44,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1540,AMLR2005D7-05,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,05:33:00,,,-61.0001,-56.5001,0,171,-2110,1522,1.81,1,49.48,40,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1541,AMLR2005D7-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,08:32:00,,,-61.2501,-56.5001,0,169,-527,1107,1.58,1,44.44,9,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1542,AMLR2005D7-07,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,11:18:00,,,-61.5001,-56.5001,0,170,-490,330,1.36,1,41,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1543,AMLR2005D7-08,AMLR2005D,,,,IKMT,3.08,0.505,OB,01-Mar-05,2005,3,1,14:12:00,,,-61.7501,-56.5001,0,168,-556,368,1.14,1,49.14,22,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1544,AMLR2005D8-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,28-Feb-05,2005,2,28,05:25:00,,,-61.2501,-57.0001,0,171,-1612,1128,1.62,1,49.32,65,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1545,AMLR2005D8-08,AMLR2005D,,,,IKMT,3.08,0.505,OB,28-Feb-05,2005,2,28,00:44:00,,,-61.7501,-57.0001,0,172,-409,154,1.36,1,28,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1546,AMLR2005D9-01,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,03:13:00,,,-60.0001,-57.5001,0,174,-3860,611,2.66,1,48.26,19,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1547,AMLR2005D9-02,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,05:53:00,,,-60.2501,-57.5001,0,170,-2769,2914,2.51,1,48.86,22,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1548,AMLR2005D9-03,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,08:47:00,,,-60.5001,-57.5001,0,168,-3712,643,2.23,1,50,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1549,AMLR2005D9-04,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,11:26:00,,,-60.7501,-57.5001,0,171,-4678,1013,2.13,1,47.5,14,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1550,AMLR2005D9-05,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,14:10:00,,,-61.0001,-57.5001,0,165,-3732,1721,2.01,1,49.88,26,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1551,AMLR2005D9-06,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,16:58:00,,,-61.2501,-57.5001,0,170,-2619,842,1.76,1,49.01,70,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1552,AMLR2005D9-07,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,19:37:00,,,-61.5001,-57.5001,0,169,-634,1169,1.6,1,45,1,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1553,AMLR2005D9-08,AMLR2005D,,,,IKMT,3.08,0.505,OB,27-Feb-05,2005,2,27,22:01:00,,,-61.7501,-57.5001,0,170,-336,181,1.32,1,42.5,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1554,AMLR2006A2-01,AMLR2006A,,,,IKMT,3.08,0.505,OB,26-Jan-06,2006,1,26,21:35:00,,,-60.0001,-54.0001,0,170,-2986,421,1.98,1,51.25,24,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1555,AMLR2006A2-02,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,00:20:00,,,-60.2501,-54.0001,0,169,-2751,742,1.79,1,51.19,21,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1556,AMLR2006A2-03,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,03:05:00,,,-60.5001,-54.0001,0,170,-2920,326,1.55,1,50.23,111,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1557,AMLR2006A2-04,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,05:49:00,,,-60.7501,-54.0001,0,167,-1922,2049,1.38,1,48.93,109,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1558,AMLR2006A2-05,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,08:31:00,,,-61.0001,-54.0001,0,170,-984,1655,1.25,1,42.41,112,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1559,AMLR2006A2-06,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,11:31:00,,,-61.2501,-53.8001,0,170,-1153,1131,0.91,1,46.75,4,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1560,AMLR2006A2-07,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,13:55:00,,,-61.5001,-54.0001,0,169,-745,728,0.76,1,43.79,42,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1561,AMLR2006A2-08,AMLR2006A,,,,IKMT,3.08,0.505,OB,27-Jan-06,2006,1,27,19:39:00,,,-61.7501,-54.0001,0,170,-343,180,0.64,1,38.47,34,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1562,AMLR2006A3-02,AMLR2006A,,,,IKMT,3.08,0.505,OB,26-Jan-06,2006,1,26,14:02:00,,,-60.2501,-54.5001,0,170,-3038,354,1.99,1,53.07,28,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1563,AMLR2006A3-04,AMLR2006A,,,,IKMT,3.08,0.505,OB,26-Jan-06,2006,1,26,10:20:00,,,-60.7501,-54.5001,0,171,-2541,1990,1.44,1,47.8,100,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1564,AMLR2006A3-06,AMLR2006A,,,,IKMT,3.08,0.505,OB,26-Jan-06,2006,1,26,05:56:00,,,-61.2501,-54.5001,0,170,-541,827,1.09,1,44.14,112,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1565,AMLR2006A4-01,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,20:48:00,,,-60.0001,-55.0001,0,169,-3516,285,2.16,1,51.53,19,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1566,AMLR2006A4-02,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,23:47:00,,,-60.2501,-55.0001,0,170,-3356,262,2.01,1,52.07,14,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1567,AMLR2006A4-03,AMLR2006A,,,,IKMT,3.08,0.505,OB,25-Jan-06,2006,1,25,02:43:00,,,-60.5001,-55.0001,0,170,-3393,298,1.79,1,51.35,48,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1568,AMLR2006A4-04,AMLR2006A,,,,IKMT,3.08,0.505,OB,25-Jan-06,2006,1,25,05:43:00,,,-60.7501,-55.0001,0,170,-2925,2117,1.59,1,52.19,27,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1569,AMLR2006A4-05,AMLR2006A,,,,IKMT,3.08,0.505,OB,25-Jan-06,2006,1,25,08:27:00,,,-61.0001,-55.0001,0,170,-382,1304,1.41,1,43.61,51,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1570,AMLR2006A4-07,AMLR2006A,,,,IKMT,3.08,0.505,OB,25-Jan-06,2006,1,25,15:41:00,,,-61.5001,-55.0001,0,171,-1097,1634,1.02,1,43.01,90,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1571,AMLR2006A4-08,AMLR2006A,,,,IKMT,3.08,0.505,OB,25-Jan-06,2006,1,25,21:58:00,,,-61.7501,-55.0001,0,170,-1909,1163,0.89,1,45.88,69,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1572,AMLR2006A5.5-01,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,13:48:00,,,-60.0001,-55.7501,0,170,-3614,482,2.34,1,52.28,43,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1573,AMLR2006A5.5-02,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,11:41:00,,,-60.2501,-55.7501,0,169,-3607,264,2.16,1,53.63,32,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1574,AMLR2006A5.5-03,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,08:40:00,,,-60.5001,-55.7501,0,171,-3682,334,1.9,1,52.67,3,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1575,AMLR2006A5.5-04,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,05:47:00,,,-60.7501,-55.7501,0,169,-2394,3407,1.78,1,52.18,93,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1576,AMLR2006A5.5-05,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,02:46:00,,,-61.0001,-55.7501,0,155,-128,378,1.69,1,47.56,9,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1577,AMLR2006A5.5-06,AMLR2006A,,,,IKMT,3.08,0.505,OB,24-Jan-06,2006,1,24,00:15:00,,,-61.2501,-55.7501,0,109,-143,208,1.35,1,44.5,12,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1578,AMLR2006A5.5-07,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,21:42:00,,,-61.5001,-55.7501,0,109,-306,659,1.18,1,41.83,6,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1579,AMLR2006A5.5-08,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,15:57:00,,,-61.7501,-55.7501,0,170,-1481,1865,1.02,1,48.6,10,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1580,AMLR2006A7-01,AMLR2006A,,,,IKMT,3.08,0.505,OB,22-Jan-06,2006,1,22,14:23:00,,,-60.0001,-56.5001,0,170,-3595,411,2.5,1,54.39,23,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1581,AMLR2006A7-02,AMLR2006A,,,,IKMT,3.08,0.505,OB,22-Jan-06,2006,1,22,17:26:00,,,-60.2501,-56.5001,0,170,-3804,797,2.33,1,51.5,2,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1582,AMLR2006A7-03,AMLR2006A,,,,IKMT,3.08,0.505,OB,22-Jan-06,2006,1,22,20:28:00,,,-60.5001,-56.5001,0,170,-3938,324,2.03,1,53,8,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1583,AMLR2006A7-05,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,03:26:00,,,-61.0001,-56.5001,0,170,-2110,1522,1.81,1,52.81,37,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1584,AMLR2006A7-06,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,06:29:00,,,-61.2501,-56.5001,0,172,-527,1107,1.58,1,48.84,32,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1585,AMLR2006A7-07,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,09:27:00,,,-61.5001,-56.5001,0,170,-490,330,1.36,1,46.28,68,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1586,AMLR2006A7-08,AMLR2006A,,,,IKMT,3.08,0.505,OB,23-Jan-06,2006,1,23,12:38:00,,,-61.7501,-56.5001,0,171,-556,368,1.14,1,47.67,33,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1587,AMLR2006A8-06,AMLR2006A,,,,IKMT,3.08,0.505,OB,21-Jan-06,2006,1,21,23:14:00,,,-61.2501,-57.0001,0,171,-1612,1128,1.62,1,52.15,47,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1588,AMLR2006A8-08,AMLR2006A,,,,IKMT,3.08,0.505,OB,21-Jan-06,2006,1,21,16:09:00,,,-61.7501,-57.0001,0,169,-409,154,1.36,1,47.48,104,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
1589,AMLR2006A9-01,AMLR2006A,,,,IKMT,3.08,0.505,OB,20-Jan-06,2006,1,20,15:21:00,,,-60.0001,-57.5001,0,171,-3860,611,2.66,1,54.5,12,"US Antarctic Marine Living Resources (AMLR) Program data sent by Valerie Loeb (1990-2007 exclusive, missing 2000 season)",
